Index;Latitude;Longitude;Distance from Tx [km];Terrain height [m a.s.l.]
190;49.70372754;19.26033818;19;390
191;49.70316934;19.26142845;19.1;403
192;49.70261114;19.2625187;19.2;413
193;49.70205293;19.26360891;19.3;410
194;49.7014947;19.26469911;19.4;402
195;49.70093647;19.26578927;19.5;399
196;49.70037823;19.26687942;19.6;403
197;49.69981997;19.26796953;19.7;393
198;49.69926171;19.26905963;19.8;396
199;49.699071;19.269432;19.83416;395
